date,description,amount,category
2026-05-01,LANDLORD LLC MANAGEMENT,-1500.0,Rent
2026-05-01,TECH CORP PAYROLL,3250.0,Income
2026-05-02,KROGER STORE #412,-84.32,Groceries
2026-05-03,STARBUCKS COFFEE #981,-6.75,Coffee
2026-05-04,SHELL OIL 043221,-45.0,Gas
2026-05-06,NETFLIX DIGTL SUBSCRPTN,-15.49,Entertainment
2026-05-08,CHIPOTLE MEXICAN GRILL,-18.4,Dining Out
2026-05-10,WHOLE FOODS MARKET,-124.15,Groceries
2026-05-11,STARBUCKS COFFEE #981,-5.5,Coffee
2026-05-12,DUKE ENERGY ELECTRIC,-92.4,Utilities
2026-05-14,AMAZON.COM*MARKETPLACE,-34.99,Shopping
2026-05-15,TECH CORP PAYROLL,3250.0,Income
2026-05-15,VENMO CASHOUT FRNDS,45.0,Income
2026-05-16,UBER TRIP RIDE,-24.5,Transport
2026-05-18,TRADER JOES #542,-68.2,Groceries
2026-05-19,STARBUCKS COFFEE #114,-7.25,Coffee
2026-05-20,CONSOLIDATED TRASH SVCS,-25.0,Utilities
2026-05-22,SPOTIFY PREMIUM,-11.99,Entertainment
2026-05-23,TEXAS ROADHOUSE STK,-72.1,Dining Out
2026-05-24,AMAZON.COM*MARKETPLACE,-112.5,Shopping
2026-05-25,"BP GAS STATION,-42.00",-42.0,Gas
2026-05-26,KROGER STORE #412,-91.1,Groceries
2026-05-27,STARBUCKS COFFEE #981,-6.75,Coffee
2026-05-28,APPLE.COM/BILL,-2.99,Entertainment
2026-05-28,TARGET STORES CORP,-53.8,Shopping
